29,3,663.05,623.60,109.42,312.40,0.79,-1,-1,-1
30,3,654.18,623.90,110.99,316.24,0.85,-1,-1,-1
31,3,648.39,624.91,112.30,317.36,0.87,-1,-1,-1
32,3,641.91,624.95,114.08,318.51,0.87,-1,-1,-1
33,3,635.89,625.51,115.91,318.82,0.87,-1,-1,-1
34,3,628.72,625.13,118.73,321.10,0.90,-1,-1,-1
35,3,622.04,623.05,122.35,324.34,0.91,-1,-1,-1
36,3,614.83,622.02,125.49,326.28,0.92,-1,-1,-1
37,3,611.23,619.76,128.93,328.80,0.92,-1,-1,-1
38,3,602.87,617.33,130.75,331.28,0.93,-1,-1,-1
39,3,595.89,613.25,132.04,335.32,0.93,-1,-1,-1
40,3,590.74,612.01,131.08,336.51,0.93,-1,-1,-1
41,3,586.38,611.06,128.53,336.87,0.93,-1,-1,-1
42,3,581.71,609.95,126.60,338.25,0.92,-1,-1,-1
43,3,577.63,610.37,124.56,336.85,0.92,-1,-1,-1
44,3,569.59,611.64,123.98,334.66,0.94,-1,-1,-1
45,3,556.95,613.48,125.90,332.98,0.95,-1,-1,-1
46,3,543.80,614.99,129.54,331.52,0.96,-1,-1,-1
47,3,533.33,615.58,134.50,331.47,0.96,-1,-1,-1
48,3,526.79,615.81,139.44,331.96,0.96,-1,-1,-1
49,3,520.92,615.11,143.88,332.40,0.96,-1,-1,-1
50,3,515.63,614.58,147.99,332.81,0.96,-1,-1,-1
51,3,510.07,614.39,151.32,333.48,0.95,-1,-1,-1
52,3,503.92,612.74,153.74,335.30,0.95,-1,-1,-1
53,3,496.16,610.55,154.35,337.02,0.94,-1,-1,-1
54,3,487.93,608.41,153.46,339.50,0.93,-1,-1,-1
55,3,479.56,604.47,151.96,344.61,0.93,-1,-1,-1
56,3,467.84,603.26,148.48,345.73,0.93,-1,-1,-1
57,3,453.04,603.37,145.16,346.63,0.94,-1,-1,-1
58,3,441.14,602.93,143.85,347.45,0.94,-1,-1,-1
59,3,431.29,603.58,144.12,347.45,0.95,-1,-1,-1
60,3,422.80,604.66,145.43,346.61,0.95,-1,-1,-1
61,3,414.27,606.41,148.25,346.52,0.96,-1,-1,-1
62,3,404.87,607.88,151.24,345.13,0.95,-1,-1,-1
63,3,395.64,608.19,155.01,345.89,0.95,-1,-1,-1
64,3,387.02,608.04,158.21,346.43,0.95,-1,-1,-1
65,3,378.34,605.61,162.58,350.04,0.95,-1,-1,-1
66,3,370.29,603.39,166.47,353.74,0.95,-1,-1,-1
67,3,361.14,602.29,167.97,355.90,0.95,-1,-1,-1
68,3,353.34,600.06,168.30,358.52,0.94,-1,-1,-1
