29,demo6-001,663.05,623.60,109.42,312.40,0.79,-1,-1,-1
30,demo6-001,654.18,623.90,110.99,316.24,0.85,-1,-1,-1
31,demo6-001,648.39,624.91,112.30,317.36,0.87,-1,-1,-1
32,demo6-001,641.91,624.95,114.08,318.51,0.87,-1,-1,-1
33,demo6-001,635.89,625.51,115.91,318.82,0.87,-1,-1,-1
34,demo6-001,628.72,625.13,118.73,321.10,0.90,-1,-1,-1
35,demo6-001,622.04,623.05,122.35,324.34,0.91,-1,-1,-1
36,demo6-001,614.83,622.02,125.49,326.28,0.92,-1,-1,-1
37,demo6-001,611.23,619.76,128.93,328.80,0.92,-1,-1,-1
38,demo6-001,602.87,617.33,130.75,331.28,0.93,-1,-1,-1
39,demo6-001,595.89,613.25,132.04,335.32,0.93,-1,-1,-1
40,demo6-001,590.74,612.01,131.08,336.51,0.93,-1,-1,-1
41,demo6-001,586.38,611.06,128.53,336.87,0.93,-1,-1,-1
42,demo6-001,581.71,609.95,126.60,338.25,0.92,-1,-1,-1
43,demo6-001,577.63,610.37,124.56,336.85,0.92,-1,-1,-1
44,demo6-001,569.59,611.64,123.98,334.66,0.94,-1,-1,-1
45,demo6-001,556.95,613.48,125.90,332.98,0.95,-1,-1,-1
46,demo6-001,543.80,614.99,129.54,331.52,0.96,-1,-1,-1
47,demo6-001,533.33,615.58,134.50,331.47,0.96,-1,-1,-1
48,demo6-001,526.79,615.81,139.44,331.96,0.96,-1,-1,-1
49,demo6-001,520.92,615.11,143.88,332.40,0.96,-1,-1,-1
50,demo6-001,515.63,614.58,147.99,332.81,0.96,-1,-1,-1
51,demo6-001,510.07,614.39,151.32,333.48,0.95,-1,-1,-1
52,demo6-001,503.92,612.74,153.74,335.30,0.95,-1,-1,-1
53,demo6-001,496.16,610.55,154.35,337.02,0.94,-1,-1,-1
54,demo6-001,487.93,608.41,153.46,339.50,0.93,-1,-1,-1
55,demo6-001,479.56,604.47,151.96,344.61,0.93,-1,-1,-1
56,demo6-001,467.84,603.26,148.48,345.73,0.93,-1,-1,-1
57,demo6-001,453.04,603.37,145.16,346.63,0.94,-1,-1,-1
58,demo6-001,441.14,602.93,143.85,347.45,0.94,-1,-1,-1
59,demo6-001,431.29,603.58,144.12,347.45,0.95,-1,-1,-1
60,demo6-001,422.80,604.66,145.43,346.61,0.95,-1,-1,-1
61,demo6-001,414.27,606.41,148.25,346.52,0.96,-1,-1,-1
62,demo6-001,404.87,607.88,151.24,345.13,0.95,-1,-1,-1
63,demo6-001,395.64,608.19,155.01,345.89,0.95,-1,-1,-1
64,demo6-001,387.02,608.04,158.21,346.43,0.95,-1,-1,-1
65,demo6-001,378.34,605.61,162.58,350.04,0.95,-1,-1,-1
66,demo6-001,370.29,603.39,166.47,353.74,0.95,-1,-1,-1
67,demo6-001,361.14,602.29,167.97,355.90,0.95,-1,-1,-1
68,demo6-001,353.34,600.06,168.30,358.52,0.94,-1,-1,-1
69,demo6-001,346.82,597.65,167.17,361.57,0.94,-1,-1,-1
70,demo6-001,340.74,595.20,164.02,364.24,0.92,-1,-1,-1
71,demo6-001,333.74,592.72,159.24,366.78,0.90,-1,-1,-1
72,demo6-001,323.08,590.77,153.91,368.73,0.91,-1,-1,-1
73,demo6-001,315.33,590.86,148.98,368.62,0.93,-1,-1,-1
74,demo6-001,306.02,592.52,145.85,366.93,0.94,-1,-1,-1
75,demo6-001,291.53,592.41,146.68,367.01,0.95,-1,-1,-1
76,demo6-001,276.50,593.71,149.12,365.68,0.96,-1,-1,-1
77,demo6-001,262.99,595.03,153.74,365.40,0.96,-1,-1,-1
78,demo6-001,252.52,595.81,159.04,365.52,0.96,-1,-1,-1
79,demo6-001,245.59,595.33,164.59,366.86,0.96,-1,-1,-1
80,demo6-001,240.83,594.63,169.31,367.87,0.96,-1,-1,-1
81,demo6-001,235.27,594.90,172.72,367.70,0.95,-1,-1,-1
82,demo6-001,227.73,593.17,175.48,369.98,0.95,-1,-1,-1
83,demo6-001,220.31,591.47,176.51,371.86,0.94,-1,-1,-1
84,demo6-001,212.26,589.26,176.10,374.65,0.93,-1,-1,-1
85,demo6-001,204.45,586.34,174.44,378.30,0.93,-1,-1,-1
86,demo6-001,196.43,582.90,170.84,382.01,0.92,-1,-1,-1
87,demo6-001,185.43,581.62,164.95,382.84,0.91,-1,-1,-1
88,demo6-001,170.01,581.19,160.53,384.15,0.92,-1,-1,-1
89,demo6-001,157.60,581.06,157.89,384.58,0.94,-1,-1,-1
90,demo6-001,147.15,581.59,157.25,384.16,0.95,-1,-1,-1
91,demo6-001,133.56,584.20,158.59,381.05,0.95,-1,-1,-1
92,demo6-001,116.39,584.96,163.64,381.15,0.95,-1,-1,-1
93,demo6-001,103.19,586.58,168.56,379.84,0.95,-1,-1,-1
94,demo6-001,94.11,587.20,173.64,379.84,0.95,-1,-1,-1
95,demo6-001,87.40,586.92,178.65,381.41,0.94,-1,-1,-1
